"place_id","name","formatted_address","geometry.location.lat","geometry.location.lng"
"ChIJ33PkjFuZ7ocRueGDC4MjZk0","Jerry's Foods","2500 Martin Luther King Jr Pkwy, Des Moines, IA 50310, USA","41.6169438","-93.64756779999999"
"ChIJS8ZFiGk04ocRNS8mc0Ncb5U","Jerry & Sparky's Bicycle Shop","1819 E Locust St, Davenport, IA 52803, USA","41.5380269","-90.5493503"
"ChIJuZrz0cLBwIcR1_WtHmGG2e4","Ben & Jerry's","6984 W 135th St, Overland Park, KS 66223, USA","38.88386","-94.66676799999999"
"ChIJ3dS0_qFmZIgRIKaqpibT5V4","Ben & Jerry's","2200 Children's Way, Food Court 2nd Floor, Nashville, TN 37232, United States","36.139374","-86.8024157"
"ChIJ5ZX7re1EQogRPuQmTnH6ul4","Anderson Jerry","269 W Main St, Lexington, KY 40507, USA","38.048656","-84.49784249999999"
"ChIJaYm_S43GQYgR4gKAKuGbako","Dusing Gerald F","8877 Valley Cir Dr, Florence, KY 41042, USA","38.981767","-84.66898959999999"
"ChIJEVKnoJdmZIgRB092CXCIjPQ","Ben & Jerry's","416-A 21st Ave S, Nashville, TN 37203, USA","36.1461565","-86.7993561"
"ChIJZUvTprX4W4gRu8xJnrObT_E","Ben & Jerry's","1645 Parkway Suite 1440, Sevierville, TN 37862, USA","35.8329103","-83.5698116"
"ChIJDdggC3OgaYgRgcmGeA34uNU","Ben & Jerry's","2745 S Hurstbourne Pkwy, Louisville, KY 40220, USA","38.2117995","-85.5969245"
"ChIJjZU1UETGwoARoYR4Acs4kWA","Ben & Jerry's","800 N Alameda St, Los Angeles, CA 90012, USA","34.05579609999999","-118.2358339"
"ChIJ9_XeO023woARGOwoi09IVDg","Ben & Jerry’s","6081 Center Dr Space 208, Los Angeles, CA 90045, USA","33.978025","-118.3913316"
"ChIJ2-OYire6woARHgtfoQVLKVQ","Ben & Jerry's","1307 Ocean Front Walk, Los Angeles, CA 90291, USA","33.988265","-118.474724"
"ChIJpxDCnk6-woARs1gTwqh2594","Ben & Jerry’s","100 Universal City Plaza Space #151, Universal City, CA 91608, USA","34.1363923","-118.3545185"
"ChIJeetCRnXNt4kRslhpbZXNeKk","Ben & Jerry's","199-F, E Montgomery Ave, Rockville, MD 20850, USA","39.0839769","-77.150241"
"ChIJ-2jC8HOwt4kRvTv1Dq5H-1s","Ben & Jerry's","138 National Plaza, Oxon Hill, MD 20745, USA","38.7852093","-77.0162885"
"ChIJQVqLbrrIt4kR-cjjRV5uLOs","Ben & Jerry's","903 Ellsworth Dr, Silver Spring, MD 20910, USA","38.9967633","-77.0259401"
"ChIJwbEqJmAr4YkRiwepMQuV-7c","Ben & Jerry's","25 Greenfield Rd, South Deerfield, MA 01373, USA","42.475441","-72.615211"
"ChIJyVcF9xZ944kR3XlUeO_Do7k","Ben & Jerry's","30 Forbes Rd, Braintree, MA 02184, USA","42.2200912","-71.0301748"
"ChIJrRQLGwx644kRAx99aNiVspo","Ben & Jerry's","174 Newbury St, Boston, MA 02116, USA","42.3503033","-71.07896579999999"
"ChIJfyU-OIKI44kRUhWzQpOWD84","Ben & Jerry's","Route 9 West, 1265 Worcester St, Natick, MA 01760, United States","42.30002","-71.3894096"
"ChIJp2wMTzZO54kRBm2Y9ntygxA","Ben & Jerry’s","179 South St, Pittsfield, MA 01201, USA","42.4440011","-73.2547049"
"ChIJvw3fSxdy44kRVrOHt5COn7I","Ben & Jerry's","565 Squire Rd, Revere, MA 02151, USA","42.4322838","-71.02002019999999"
"ChIJA266tkJ344kRaK7oz0CKGoc","Ben & Jerry's","36 John F. Kennedy St, Cambridge, MA 02138, USA","42.3726117","-71.1196425"
"ChIJbdk-D39w44kRqoWBz_rmyzc","Ben & Jerry’s","83 Seaport Blvd, Boston, MA 02110, USA","42.3519313","-71.0463707"
"ChIJlQwTsw9644kR5eCagrMcW9w","Ben & Jerry’s","800 Boylston St, Boston, MA 02199, USA","42.3467886","-71.083049"
"ChIJjbdWnH6n_IkRuccw_ORdtzw","Ben & Jerry’s","258 Commercial St, Provincetown, MA 02657, USA","42.05106620000001","-70.1876217"
"ChIJhV01qvww-4kRnq6ZAQzI8EY","Ben & Jerry’s","352 Main St, Hyannis, MA 02601, USA","41.65344","-70.2828495"
"ChIJ6d0unfkw-4kRfSuQ48mgSaw","Ben & Jerry's","22 Channel Point Rd Lower Level, Hyannis, MA 02601, United States","41.6477161","-70.279419"
"ChIJUR8HXpxo-4kRnzph8Cr7jSw","Ben & Jerry’s","50 Brackett Rd, North Eastham, MA 02651, USA","41.8550486","-69.9868719"
"ChIJHRY26Ydw44kRgSJyINMw2rU","Ben & Jerry's","1 Boston Wharf Rd, Boston, MA 02210, USA","42.359154","-71.0504923"
"ChIJO01ozgOD44kRh4AcvczCuPI","Ben & Jerry's Ice Cream Catering MA","3022, 33 Highland Ave, Needham, MA 02494, United States","42.3062882","-71.217627"
"ChIJCVm4nECuPIgRkjc368SEm2Y","Ben & Jerry's","304 S State St, Ann Arbor, MI 48104, USA","42.279076","-83.7410659"
"ChIJn2DrJTAtO4gRPW6HCUas6po","Ben & Jerry's","1014 Woodward Ave, Detroit, MI 48226, USA","42.332611","-83.047263"
"ChIJR7mcJVwn9ocRqn05RNfwtkQ","Ben & Jerry’s","3070 Excelsior Blvd, Minneapolis, MN 55416, USA","44.9469259","-93.3223591"
"ChIJsXbbrpBMs1IRfPAvDcUS-5A","Ben & Jerry’s","539 Lake St E 1st Floor, Wayzata, MN 55391, USA","44.9698649","-93.51370469999999"
"ChIJndNHeFQ134cRZ5SW5F42x24","Ben & Jerry's","6380 Delmar Blvd, University City, MO 63130, USA","38.6557427","-90.30413469999999"
"ChIJl__gm2AYnlQRz01bW0Iw51o","Ben & Jerry's","808 W Main Ave Cafes, On 3 Space 10, Spokane, WA 99201, United States","47.65952","-117.4235004"
"ChIJx25_AopOmYcRRNdY01x2XPI","Sonic Drive-In","4807 3rd Ave, Kearney, NE 68847, USA","40.7217197","-99.0843977"
"ChIJ8X393cyjmYcR4uxbbsjsvvI","Jerry Spady Chevrolet GMC Cadillac","2750 Osborne Dr E, Hastings, NE 68901, USA","40.6130461","-98.380513"
"ChIJ2TwA1opKaYcRNq7Mhb4Wi2g","Ben & Jerry’s","1 Old Town Square Suite 104, Fort Collins, CO 80524, USA","40.5875184","-105.0757883"
"ChIJkSYwPcnyk4cRLbqklv3FBD8","Jerry W. Katskee","10404 Essex Ct # 100, Omaha, NE 68114, USA","41.2571289","-96.0751597"
"ChIJnexRfORnbIcRf8Xo0Zc7n7s","Ben & Jerrys","8700 Peña Blvd, Denver, CO 80249, USA","39.8541904","-104.67362"
"ChIJM0BrqRV-bIcRETkz3NCVols","Ben & Jerry’s","2339 E Evans Ave, Denver, CO 80210, USA","39.6786222","-104.9597928"
"ChIJzetElruFbIcRtdEc1e7OH2k","Ben & Jerry’s","8515 Park Meadows Center Dr, Lone Tree, CO 80124, USA","39.5628874","-104.8760334"
"ChIJacg7Tybsa4cRuEi77Jxji4w","Ben & Jerry's","1203 Pearl St, Boulder, CO 80302, USA","40.0180426","-105.2798485"
"ChIJZd0N6TDEyIARu9kDQevxjRE","Ben & Jerry's","3411 S Las Vegas Blvd, Las Vegas, NV 89109, USA","36.1204483","-115.1719952"
"ChIJNRRNoN3RyIAR8-HZluDBkxU","Ben & Jerry's","2225 Village Walk Dr, Henderson, NV 89052, USA","36.0212443","-115.0858248"
"ChIJTRJlLPHQyIAR5THux6fPoDQ","Ben & Jerry's","1301 W Sunset Rd, Henderson, NV 89014, USA","36.06081","-115.040795"
"ChIJuaZNPhbEyIAR__jh3U-BJW8","Ben & Jerry's","3663 S Las Vegas Blvd Suite #520, Las Vegas, NV 89109, USA","36.10873950000001","-115.1698147"
"ChIJ7ZRhFTrEyIARn1A0skICWiQ","Ben & Jerry's","3627 S Las Vegas Blvd Suite 900, Las Vegas, NV 89109, USA","36.1142481","-115.1724913"
"ChIJS3GiZyZP4okRq7RvUnnCN_U","Ben & Jerry’s","940 Elm St, Manchester, NH 03101, USA","42.9915706","-71.4632204"
"ChIJaZZcxb5Hs0wRdrU2t-ZiPyI","Ben & Jerry’s","312 Daniel Webster Hwy, Meredith, NH 03253, USA","43.65738349999999","-71.50004229999999"
"ChIJeyFSt_ygs0wRlSo4DmMQYwM","Ben & Jerry's","26 Norcross Cir, North Conway, NH 03860, USA","44.0526944","-71.1292038"
